en,vi
It's very cheap,Điều này rất rẻ
It's very cheap,Điều này rất là rẻ
It's your turn,Đến lượt bạn
It's your turn,Đến lượt của bạn
It's your turn,Đến lượt của bạn rồi
I've got a pen,Tôi có một cây bút
I've got a pen,Tôi đang có một cây bút
I've got a pen,Tôi có bút
I've got a pen,Tôi đã và đang có bút
I've lost my key,Tôi đã mất chìa khóa
I've lost my key,Tôi đã làm mất chìa khóa
I've lost my key,Tôi đã làm rơi chìa khóa
I've seen that film,Tôi đã xem bộ phim đó
I've seen that film,Tôi đã từng xem bộ phim đó
I've seen that film,Tôi đã xem phim đó rồi
I've seen that film,Tôi đã xem bộ phim đó
I'm very happy,Tôi rất vui
I'm very happy,Tôi rất hạnh phúc
I'm very happy,Tôi đang rất vui
I'm very happy,Tôi cảm thấy rất vui
I'm happy,Tôi vui
I'm happy,Tôi thấy vui
I'm happy,Tôi đang vui
I'm sorry,Tôi xin lỗi
I'm sorry,Tôi thấy tiếc
I'm very sorry,Tôi rất xin lỗi
I'm very sorry,Tôi xin lỗi rất nhiều
I'm very sorry,Tôi thành thật xin lỗi
I'm very sorry,Tôi vô cùng xin lỗi
I've read that book,Tôi đã đọc cuốn sách đó
I've read that book,Tôi đã từng đọc cuốn sách đó
I've read that book,Tôi đã đọc quyển sách đó
I've read that book,Tôi đã có lần đọc cuốn sách đó
I'm a little tired,Tôi hơi mệt
I'm a little tired,Tôi cảm thấy hơi mệt
I'm a little tired,Tôi đang hơi mệt
I'm a little tired,Tôi có chút mệt
I'm not sure,Tôi không chắc
I'm not sure,Tôi chưa chắc
I'm not sure,Tôi không biết chắc
It's two pounds,cái này hai pound
It's your party,Nó là buổi tiệc của bạn
Just get inside,Cứ vào trong đi đã
Just get inside,Chỉ việc vào trong thôi
Keep your seats,Giữ ghế của các bạn
Let me see that,Hãy cho tôi xem cái đó
Let me see that,Cho tôi xem cái đó
Let's go by car,Đi bằng ôtô nhé
Let's go inside,Chúng ta hãy vào trong nào
Let's stop here,Hôm nay chúng ta kết thúc ở đây
Life isn't easy,Cuộc sống không dễ dàng gì
Life is not fair,Cuộc đời không công bằng
Natto is sticky,Natto ăn có cảm giác dinh dính
See you tonight,Hẹn gặp bạn tối nay
She is too weak,Nó yếu quá
She is too weak,Cô ấy quá yếu
She is too weak,Bà ấy yếu quá
That is his car,Đó là xe của anh ta
That's my motto,Đó là phương châm của tôi
That's my motto,Đó là khẩu hiệu của tôi
There's so much,Thế là quá nhiều
They'll help us,Họ sẽ giúp bọn mình
They're trapped,Họ đang bị mắc kẹt
This car is his,Chiếc xe này là của ổng
This car is his,Chiếc xe này là của ông ta
This car is his,Chiếc xe này là của ông ấy
This car is his,Chiếc xe này là của hắn
This car is his,Chiếc xe này là của anh ấy
This is my room,Đây là phòng của tôi
This is my wine,Đây là rượu vang của tôi
Tom followed me,Tom đã đi theo tôi
Tom is a writer,Tom là nhà văn
Tom is too late,Tom quá trễ rồi
Tom is your age,Tom cũng bằng tuổi cậu
Tom isn't naive,Tom không ngây thơ
Tom made a deal,Tom đã đạt được một thỏa thuận
Tom needs shoes,Tom cần giày
Tom trusts Mary,Tom tin tưởng Mary
Tom turned pale,Mặt Tom tái mét lại
Tom was adopted,Tom đã được nhận nuôi
Tom was excited,Tom đã phấn khích
Tom was in pain,Tôm bị đau
Tom was missing,Thiếu Tom
Tom was my boss,Tom từng là sếp của tôi
Tom was stunned,Tom đã bị choáng
Tom was unlucky,Tom đã không may mắn
Wasn't it awful?,Không phải nó kinh khủng lắm ư
Watch carefully,Hãy nhìn thật kỹ
We are teachers,chúng tôi là giáo viên
We came to help,Chúng tôi đến để giúp
We met a writer,Chúng tôi đã gặp một ông nhà văn
We walked a lot,Chúng tôi đã đi bộ rất nhiều
Where's the key?,Cái chìa khóa ở đâu
Who did you see?,Bạn đã gặp ai vậy
Who did you see?,Bạn đã gặp ai thế
Who'll be there?,Ai sẽ ở đó
Why is she here?,Sao cô ta lại ở đây chứ
Why is she here?,Tại sao cô ấy lại ở đây vậy
You look stupid,Bạn nhìn ngốc quá
You wore me out,Bạn làm tôi mệt quá
You'll get lost,Bạn sẽ bị lạc đấy
You'll like Tom,Mày sẽ thích Tom
You're a nobody,Bạn chẳng là ai cả
Are they serious?,Họ có nghiêm túc không
"At last, he came",Cuối cùng thì anh ấy đã tới
"At last, he came",Cuối cùng thì ông ấy cũng đã đến
"Boy, was I wrong","Trời ạ, sai bét luôn"
Call me sometime,Lúc nào điện cho tôi nhé
Can you help Tom?,Bạn có thể giúp Tom không
Can you see them?,Anh có trông thấy bọn họ không
Did Tom call you?,Tom đã gọi cho cậu à
Do what you like,Bạn thích làm gì thì làm
Do what you like,Thích làm gì thì làm
Do what you want,Bạn thích làm gì thì làm
Do what you want,Thích làm gì thì làm
Do you live here?,Bạn có sống ở đây không
Does Tom approve?,Tom có đồng ý không
Does she love me?,Cô ấy có yêu tôi không
Does she love me?,Cô ấy yêu tôi phải không
Don't be so glum,Đừng có rầu rĩ quá như thế
Don't exaggerate,Đừng làm quá lên
Don't exaggerate,Đừng có mà làm quá lên
Don't touch this,Đừng sờ vào cái này
Everybody waited,Mọi người đã đợi
Everybody waited,Mọi người đã chờ đợi
Everybody waited,Tất cả mọi người đã chờ đợi
Everybody waited,Tất cả mọi người đều đã chờ đợi
Everybody waited,Tất cả mọi người đều đã đợi
French is useful,Tiếng Pháp hữu dụng lắm
Have a safe trip,Thượng lộ bình an
Have a safe trip,Có một chuyến đi an toàn nhé
He broke the law,Anh ấy đã vi phạm pháp luật
He can swim fast,Anh ta có thể bơi nhanh
He hates carrots,Nó ghét cà rốt
He hates carrots,Ông ta ghét cà rốt
He hates carrots,Hắn ghét cà rốt
He's always busy,Anh ta luôn bận rộn
Help me to do it,Hãy giúp tôi việc đó
Help me to do it,Hãy giúp tôi làm điều đó
"Hmm, what's this?","Hừm, cái gì đây"
Hold that for me,Cầm nó hộ mình
Hold that for me,Giữ nó cho mình
How much is that?,Cái đó bao nhiêu tiền
How's work going?,Công việc của bạn như thế nào
How's work going?,Công việc của mày dư lào
I didn't like it,tôi không thích nó
I don't like you,Tôi không thích anh đâu
I feel just fine,Tôi cảm thấy bình thường
I feel very cold,Tôi cảm thấy rất lạnh
I hate chemistry,Tôi ghét hóa học
I have some time,Có có một ít thời gian
I have two books,Tôi có hai cuốn sách
I like pop music,Tôi thích nhạc pop
I like pop music,Tôi thích nghe nhạc pop
I like this plan,Tôi thích kế hoạch này
I like to travel,Tôi thích đi du lịch
I love astronomy,Tôi yêu thích thiên văn học
I love egg yolks,Tôi thích lòng đỏ trứng
I love this park,Tôi yêu công viên này
I love this park,Tôi thích công viên này
I need a massage,Tôi cần được mát+xa
I need more time,Tôi cần thêm thì giờ
I planted a tree,Tôi đã trồng một cái cây
I think Tom died,Tôi nghĩ Tom đã chết
I told the truth,Tôi đã nói ra sự thật
I walk to school,Tôi đi bộ đến trường
I wasn't worried,Tôi đã thôi lo nghĩ
I wasn't worried,Tôi đã không lo lắng
I will shoot him,Tôi sẽ bắn nó
I will shoot him,Tôi sẽ bắn hắn
I will shoot him,Tôi sẽ bắn anh ta
I won't be going,Tôi sẽ không đi
I won't help you,Tôi không giúp bạn đâu
I wrote the book,Tôi đã viết cuốn sách
I'm a journalist,Tôi là nhà báo
I'm an insomniac,Tôi hay bị mất ngủ
I'm at the hotel,Bây giờ tôi đang ở khách sạn
I'm by your side,Tôi ủng hộ bạn
I'm eating fruit,Tôi đang ăn hoa quả
I'm going to run,Tớ chuẩn bị chạy
I'm going to try,Tôi sẽ thử
I'm going to try,Tôi sẽ thử xem sao
I'm hard working,Tôi là một người chăm chỉ
I'm in pain here,Tôi bị đau ở chỗ này
I'm not a doctor,Tôi không phải là bác sĩ
I'm not like you,Tớ không giống cậu
I'm really broke,Tôi thật sự hết tiền rồi
I'm really sorry,Tôi thật sự rất xin lỗi
I'm really sorry,Tôi vô cùng xin lỗi
Is Tom all right?,Tom ổn chứ
Is Tom still mad?,Tom vẫn còn cáu à
Is that the plan?,Kế hoạch đấy à
Is that too late?,Thế có quá muộn không
Is this your bag?,Đó có phải là túi của bạn
Is your dog mean?,Chó nhà bạn có dữ không
Is your dog mean?,Chó của bạn có hung dữ không
It might explode,Nó có thể nổ
It's kind of hot,Nó khá nóng đấy
Keep the dog out,Đừng cho chó vào trong
Keep the dog out,Đừng cho chó vào bên trong
Keep the dog out,Không được cho chó vào bên trong
Let them come in,Để họ vào
Let's have a try,Thử xem nào
Let's keep going,Chúng ta đi tiếp thôi nào
Let's keep going,Chúng ta tiếp tục thôi nào
My eyes are sore,Mắt tôi đang bị đau
My place is here,Chỗ của tôi ở đây
My place is here,Chỗ của tao ở đây
Parrots can sing,Những con vẹt hát được
People are dying,Người người đang chết dần
Please don't cry,Làm ơn đừng khóc
Put the box down,Đặt cái hộp xuống
She seems OK now,Hiện tại nó có vẻ ổn
She seems OK now,Hiện tại cô ta có vẻ ổn
She seems OK now,Hiện tại cô ấy có vẻ ổn
She seems OK now,Hiện tại chị ấy có vẻ ổn
She seems OK now,Hiện tại bà ấy có vẻ ổn
Take Tom outside,Hãy đưa Tom ra ngoài đi
Take Tom outside,Đưa Tom ra ngoài đi
The battery died,Pin chết
The dogs are wet,Lũ chó bị ướt sũng
The grass is wet,Cỏ ướt đấy
There's no limit,Không có giới hạn nào cả
They all love me,Họ đều yêu tôi
They arrested me,Họ bắt tôi
This doesn't fit,Cái này không vừa
This is gasoline,Đây là xăng
This will be fun,Sẽ vui đây
Tom bounced back,Tom đã khỏe lại
Tom can't go yet,Tom chưa đi được
Tom can't go yet,Tom chưa đi được đâu
Tom felt tricked,Tom đã cảm thấy mình bị lừa
Tom is a harpist,Tom là một nghệ sĩ đàn hạc
Tom is efficient,Tom là người năng suất
Tom is efficient,Tom là một người năng suất
Tom is surviving,Tom đang sống sót
Tom ought to win,Tom chắc chắn sẽ thắng
Tom was executed,Tom đã bị tử hình
Tom's downstairs,Tom đang ở tầng dưới
Tom's downstairs,Tom đang ở dưới nhà
"Tom, don't leave","Tom, đừng đi"
Try another door,Hãy thử một cánh cửa khác
Wanna make a bet?,Muốn cược không
We can do better,Chúng ta có thể làm tốt hơn
We can do better,Chúng tôi có thể làm tốt hơn
We can't give up,Chúng ta không thể bỏ cuộc
We can't give up,Chúng ta không thể từ bỏ
We can't give up,Chúng tôi không thể bỏ cuộc
We have no water,Chúng tôi không có nước
We have no water,Chúng ta không có nước
We need to hurry,Chúng ta cần phải nhanh lên
We used to fight,Chúng tôi từng đánh nhau
We used to fight,Chúng tôi từng đối đầu nhau
We used to fight,Chúng tôi từng cãi nhau
We're doing well,Chúng ta đang làm rất tốt
We're going home,Bọn con đang về nhà
What do you want?,Bạn muốn gì
What have I done?,Mình đã làm gì chứ
What's the price?,Giá cả bao nhiêu
What's your name?,Tên bạn là gì
Where can I park?,Đậu xe ở đâu vậy
Where is my comb?,Lược của tôi đâu rồi
Where is the dog?,Chó đâu rồi
Where is the dog?,Con chó đâu rồi
Where is the dog?,Chó mô rồi
Where's the food?,Đồ ăn đâu rồi
Where's the food?,Đồ ăn đâu
Where's the food?,Đồ ăn ở đâu
Where's the food?,Thức ăn ở đâu
Where's your dog?,Con chó của cậu đâu rồi
Who did you meet?,Bạn đã gặp ai vậy
Who did you meet?,Bạn đã gặp ai thế
Whose turn is it?,Đến lượt ai đây
Whose turn is it?,Bây giờ đến lượt ai
Winter is coming,Mùa đông đang đến
Winter is coming,Mùa đông đang tới
Words failed her,Cô ấy đã không nói nên lời
Write with a pen,Anh hãy viết bằng bút mực
You made Tom cry,Tôi khiến Tom khóc
You were singing,Bạn đang hát
You'll regret it,Bạn sẽ hối hận về điều đó
You're the enemy,Anh là kẻ địch
You're very kind,Bạn rất tốt bụng
A mule kicked Tom,Một con la đã đá vào Tom
A storm is coming,Một cơn bão sắp đến
A storm is coming,Trời có vẻ sắp bão rồi
Am I under arrest?,Tôi bị bắt à
Are you a vampire?,Bạn có phải là ma cà rồng không
Are you a vampire?,Bạn có phải là ma cà rồng hay không
Are you all right?,Bạn có sao không
Are you all right?,Bạn có làm sao không
Are you all tired?,Bạn có mệt không
"Are you busy, Tom?","Tom này, bạn có bận không"
Are you guys cold?,Các bạn có lạnh không
Are you in a rush?,Bạn đang vội à
Aren't you hungry?,Cậu không đói sao
Beef is expensive,Thịt bò rất đắt
Call an ambulance,Gọi xe cứu thương đi
Call an ambulance,Gọi xe cấp cứu đi
Call an ambulance,Gọi cấp cứu đi
Can I pay by Visa?,Thanh toán bằng Visa được chứ
Can you advise me?,Bạn có thể cho tôi vài lời khuyên được không
Can you decode it?,Bạn có giải mã được cái đó không
Can you feel this?,Bạn có cảm nhận được điều đó không
"Come on, admit it","Thôi nào, thừa nhận đi"
"Come on, hurry up","Thôi nào, nhanh lên đi"
Did Tom know Mary?,Tom có quen Mary không
Did Tom need help?,Tom có cần giúp đỡ không
Do you have a car?,Bạn có ô tô không
Does she know you?,Cô ấy có biết bạn không vậy
Does she know you?,Cô ấy có biết bạn không
Don't be childish,Đừng có trẻ con như vậy
Don't stop me now,Đừng cản tôi lúc này
Don't stop me now,Đừng ngăn cản tôi lúc này
Don't stop me now,Đừng ngăn tôi lại lúc này
Don't talk to Tom,Đừng nói chuyện với Tom
Fire is dangerous,Hỏa hoạn là nguy hiểm
Haste makes waste,Dục tốc bất đạt
Have you seen her?,Bạn có thấy cô ấy không
He arrived safely,Anh ấy đã đến nơi an toàn
He has no bicycle,Anh ấy không có xe đạp
He has no bicycle,Ông ấy không có xe đạp
He may come today,Có lẽ hôm nay anh ấy sẽ đến đấy
He pushed past me,Anh ta đẩy qua tôi
He speaks English,Ông ấy nói tiếng Anh
He speaks English,Anh ấy nói tiếng Anh
He struck a match,Anh ấy đã quẹt diêm
He struck a match,Ông ta đã quẹt một que diêm
Hold that thought,Dừng lại đây đã
How did you reply?,Bạn đã trả lời như thế nào
How much are they?,Chúng bao nhiêu tiền
How's your father?,Ba của bạn sao rồi
I agreed with Tom,Tôi đồng tình với Tom
I am eating fruit,Tôi đang ăn hoa quả
I am really sorry,Tôi thật sự rất xin lỗi
I am really sorry,Tôi vô cùng xin lỗi
I beg your pardon?,Ông có thể nói lại một lần nữa được không ạ
I beg your pardon?,Cô có thể nói lại được không ạ
I can make a call,Tôi có thể gọi một cuộc
I can't do it now,Tôi không thể thực hiện nó lúc này
I can't stand him,Tôi không thể chịu được anh ta
I can't swim well,Tôi bơi không giỏi
I don't eat bread,Tôi không ăn bánh mì
I don't like this,Tôi không thích cái này
I don't swim well,Tôi bơi không giỏi
I have a computer,Tôi có một cái máy tính
I have a computer,Tôi có một cái máy vi tính
I have a computer,Tôi có một chiếc máy tính
I have a computer,Tôi có một chiếc máy vi tính
I have a headache,Tôi bị nhức đầu
I have a headache,Tôi bị đau đầu
I have some gifts,Tôi có vài món quà
I know how to ski,Tôi biết trượt tuyết
I like being busy,Tôi thích bận rộn
I like your beard,Tôi thích bộ râu của bạn
I must leave here,Tôi phải rời khỏi đây
I really like him,Tôi thực sự thích anh ta
I really like him,Tôi thực sự thích cậu ta
I said I'll do it,Tôi đã nói là tôi sẽ làm mà
I shouldn't do it,Tôi không nên làm nó
I think Tom is in,Tôi nghĩ là Tom đang ở bên trong
I want a lot more,Tôi muốn nhiều hơn
I wasn't involved,Tôi không liên quan
I wasn't involved,Tôi không có liên quan
I went to the zoo,Tôi đã tới vườn thú
I'll come at once,Tôi sẽ đến một lần
I'll eat anything,Tôi sẽ ăn bất cứ thứ gì
I'll go home soon,Tôi sẽ về nhà sớm thôi
I'll go to school,Tôi sẽ đi học
I'm Tom  brother,Tôi là anh trai Tom
I'm Tom  brother,Tôi là em trai Tom
I'm Tom  brother,Tôi là anh trai của Tom
I'm Tom  brother,Tôi là em trai của Tom
I'm a human being,Tôi là con người
I'm going to swim,Tôi sẽ đi bơi
I've got to do it,Chúng ta phải làm nó
Is everybody busy?,Mọi người có bận không
Is there a reward?,Có phần thưởng hay không
Is this a problem?,Đây có phải vấn đề không
It makes no sense,Nó chẳng có ý nghĩa gì cả
It never happened,Nó đã chưa từng xảy ra
It's a lot of fun,Thật vui
It's an old piano,Đó là một chiếc đàn piano cũ
It's easy for Tom,Với Tom nó chỉ là chuyện nhỏ
It's gotten worse,Tình hình bắt đầu trở nên tồi tệ
It's only a rumor,Nó chỉ là một tin đồn
It's part of life,Nó là một phần của cuộc sống
It's payback time,Đã đến lúc trả đũa rồi
It's payback time,Đến lúc trả đũa rồi
It's payback time,Đã đến lúc trả thù rồi
It's time for bed,Đã đến giờ đi ngủ
Let's not do that,Đừng làm điều đó
Life is too short,Cuộc đời quá ngắn ngủi
May I do that now?,Tôi có thể làm điều đó bây giờ được không
May I leave early?,Tôi có thể về sớm được không
My house is dirty,Nhà tôi bẩn lắm
My scalp is itchy,Da đầu của tôi bị ngứa
Please be serious,Làm ơn nghiêm túc đi
Please scoot over,Làm ơn dịch sang một chút được không
Prices are rising,Vật giá đang tăng
Pull out the plug,Rút phích cắm ra
Pull the plug out,Kéo phích cắm ra
She drives me mad,Cô ấy làm tôi phát điên
She likes to read,Cô ấy thích đọc sách báo
She sells flowers,Cô ta bán hoa
She's a professor,Cô ấy là một giáo viên
"Sign here, please",Vui lòng ký vào đây
Silence is golden,Im lặng là vàng
Someone's singing,Có ai đó đang hát
"Thanks a lot, Tom",Cám ơn Tom rất nhiều
That can't happen,Không thể có chuyện đó
That girl is Mary,Cô gái kia là Mary
That won't happen,Điều đó sẽ không xảy ra
That won't happen,Điều đó sẽ không xảy ra đâu
That's all I have,Đó là tất cả những gì mà tôi có
The sun is rising,Mặt trời đang lên
The trunk is open,Cái va li đang mở
The trunk is open,Cái thùng xe hơi đang mở
The war has ended,Chiến tranh đã kết thúc
The water is calm,Mặt nước đang phẳng lặng
There is no limit,Không có giới hạn nào cả
They haven't left,Họ chưa đi
They went fishing,Họ đã đi câu cá
They were married,Chúng nó cưới nhau rồi
They were married,Họ đã lấy nhau rồi
They were married,Họ lấy nhau rồi
They were married,Bọn họ đã lấy nhau rồi
They're all dying,Tất cả bọn họ đều đang chết dần
This dog is white,Con chó này màu trắng
Tom doesn't smile,Tom không cười
Tom had no hat on,Tom không đội mũ
Tom is behind you,Tom đang ở phía sau bạn
Tom is behind you,Tom đang ở đằng sau bạn đấy
Tom is my brother,Tom là anh trai của tôi
Tom is my brother,Tom là em trai của tôi
Tom is recovering,Tom đang dần hồi phục
Tom isn't resting,Tom không nghỉ
Tom isn't resting,Tom không nghỉ ngơi
Tom wants to swim,Tom muốn đi bơi
Tom was depressed,Tom đã bị chán nản
Tom was in heaven,Tom đã ở trên thiên đường
Tom will beat you,Tom sẽ đánh bại bạn
We don't know why,Tôi không biết tại sao
We gave them food,Chúng tôi cho họ đồ ăn
We gave them food,Chúng tôi tặng họ thức ăn
We have suppliers,Chúng tôi có những nhà cung cấp
We know this song,Tụi tao biết bài hát này
We know this song,Chúng tôi biết bài hát này
We'll let Tom try,Để Tom thử đi
We're all excited,Chúng tôi đều rất hứng thú
What did you feel?,Bạn đã cảm thấy như thế nào
What did you feel?,Cảm giác của bạn lúc đó thế nào
What did you feel?,Lúc đó cảm giác của bạn thế nào
What did you make?,Bạn đã tạo ra cái gì rồi
What'll we do now?,Chúng ta sẽ làm gì bây giờ
Where do you live?,Bạn sống ở đâu
Which one's yours?,Cái nào là của bạn
Who made this pie?,Ai đã làm ra chiếc bánh này
Who's watching TV?,Ai đang xem ti vi thế
Why can't he come?,Sao anh ta không đến được
Why can't he come?,Tại sao anh ta không thể đến được
You are beautiful,Bạn đẹp quá
You can have this,Bạn có thể lấy nó
You could help me,Bạn có thể giúp tôi
You have to hurry,Bạn phải nhanh lên
You must hurry up,Bạn phải nhanh lên
You need to hurry,Bạn phải nhanh lên
You should try it,Bạn nên thử nó
You shouldn't lie,Cậu không nên nói dối
You two stay here,Hai người ở lại đây
Your book is here,Sách của bạn ở đây
Your book is here,Quyển sách của bạn ở chỗ này
A cat has two ears,Con mèo có hai cái tai
Are you blaming me?,Anh đổ lỗi cho tôi ư
Are you busy today?,Hôm nay ban có rãnh không
Are you happy here?,Ở đây bạn có hạnh phúc
Can I see that one?,Hãy cho tôi xem cái kia
Can you scoot over?,Bạn có để dịch sang một chút không
Do you know kabuki?,Bạn có biết kịch Kabuki không
Do you play soccer?,Bạn có chơi bóng đá không
Do you want to eat?,Đi ăn không
Do you want to see?,Bạn có muốn xem không
Does Tom know Mary?,Tom có biết Mary không
Does it hurt a lot?,Có đau lắm không
Don't be too hasty,Đừng quá vội vàng
Don't be too hasty,Đừng quá hấp tấp
Don't try too hard,Đừng cố quá
Don't you think so?,Bạn có nghĩ vậy không
Everyone hates Tom,Tất cả mọi người đều ghét Tom
Everyone likes her,Mọi người đều thích cô ấy
Everyone likes her,Tất cả mọi người đều thích cô ấy
Get away from here,Đi ra khỏi đây
Get away from here,Cút đi
"Get over here, Tom",Qua bên này đi Tom
Give me the bottle,Đưa tôi cái chai đó đi
Give me the bottle,Hãy đưa tôi cái chai đó
Give me the bottle,Hãy đưa cho tôi cái chai đó
Give me the bottle,Hãy đưa cho tôi cái chai đó đi
He doesn't know me,Anh ấy không biết tôi
He doesn't know me,Ông ta không biết tôi là ai
He has a white cat,Anh ấy đang nuôi một con mèo trắng
He has a white cat,Ông ấy có nuôi một con mèo trắng
He wants a new car,Anh ấy muốn một chiếc xe mới
He won't like this,Nó sẽ không thích cái này
He won't like this,Anh ấy sẽ không thích cái này
He won't like this,Nó sẽ không ưa cái này
He won't like this,Ông ta sẽ không ưa cái này
He won't like this,Nó sẽ không thích điều này
He won't like this,Nó sẽ không thích việc này
He's a patient man,Anh ấy là một người kiên trì
"Hello, how are you?","Xin chào, bạn khỏe không"
How much are those?,Những cái đó bao nhiêu tiền
I bid you farewell,Xin được nói lời tạm biệt với bạn
I can ride a horse,Tôi có thể cưỡi ngựa
I can ride a horse,Tôi biết cưỡi ngựa
I can't believe it,Tôi không thể tin được
I can't work today,Hôm nay tôi không thể làm việc
I don't need a bed,Tôi không cần giường
I don't trust them,Tôi không tin họ
I don't trust them,Tôi không tin tưởng bọn họ
I don't understand,Tôi không hiểu
I don't wear a tie,Tôi không đeo cà vạt
I dreamt about you,Tôi mơ đến bạn
I dropped my apple,Tôi đã đánh rơi quả táo của mình
I give you my word,Tôi hứa
I got Tom to do it,Tôi bảo Tom làm rồi
I have a white cat,Tôi có một con mèo trắng
I have another job,Tôi có một công việc khác
I have to see this,Tôi phải nhìn thấy nó
I helped Tom do it,Tôi đã giúp Tom làm điều đó
I helped Tom do it,Tôi đã giúp Tom làm việc đó
I hope you like it,Hy vọng bạn thích nó
I hurt my shoulder,Tôi đau vai
I just made dinner,Tôi vừa mới làm bữa tối xong
I know nothing yet,Tôi vẫn chưa biết gì cả
I know nothing yet,Tôi vẫn chưa biết gì hết
I like candlelight,Tôi thích ánh nến
I love Korean food,Tôi rất thích món ăn Hàn Quốc
I love Korean food,Tôi cực kỳ thích ẩm thực Hàn Quốc
I loved that house,Tôi yêu căn nhà đó
I made Tom do that,Tôi đã bắt Tom làm điều đó
I made Tom do that,Tôi đã bắt Tom làm việc đó
I need your advice,Tôi cần lời chỉ bảo của bạn
I said I'll get it,Tôi nói là tôi sẽ lấy nó
I turned myself in,Tôi đã ra đầu thú
I walked to school,Tôi đi bộ đến trường
I walked to school,Tôi đi bộ tới trường
I wanted to buy it,Tôi đã muốn mua nó
I wanted to escape,Tôi đã muốn trốn thoát
I was playing here,Tôi đã chơi ở đây
I woke up at three,Tôi tỉnh dậy lúc ba giờ
I won't assist you,Tôi không giúp bạn đâu
I won't come today,Hôm nay tôi sẽ không đến
I won't come today,Hôm nay tôi sẽ không tới
I won't come today,Tôi sẽ không đến hôm nay
I won't come today,Tôi sẽ không tới hôm nay
I wrote it for Tom,Tôi đã viết nó cho Tom
I'll give it a try,Tôi sẽ thử
I'll give it a try,Tôi sẽ thử xem sao
I'm a baseball fan,Tôi là một người hâm mộ bóng chày
I'm a born skeptic,Tôi là một người hoài nghi bẩm sinh
I'm a photographer,Tôi là một phó nháy
I'm in the library,Tôi đang ở trong thư viện
I'm not illiterate,Tôi không phải người mù chữ
I'm not your enemy,Tôi không phải là kẻ thù
I'm still in shock,Tôi vẫn đang bị sốc
I'm writing a book,Tôi đang viết một cuốn sách
I'm your assistant,Tôi là trợ lý của bạn
I've never met her,Tôi chưa từng gặp cô ấy
Is Tom unconscious?,Tom có tỉnh không
Is she your sister?,Cô ấy là em gái bạn à
It was just a kiss,Nó chỉ là một nụ hôn mà thôi
It'll be all right,Sẽ ổn thôi
It's a fire hazard,Nó là một nguy cơ hỏa hoạn
It's a lovely idea,Một ý tưởng đáng yêu
It's about to rain,Có lẽ là trời sắp mưa
It's about to rain,Chắc có lẽ trời sắp mưa rồi
It's going to rain,Chắc có lẽ trời sắp mưa rồi
It's quite close,Nó khá gần
Knowledge is power,Tri thức là sức mạnh
Let Tom in at once,Hãy cho Tom vào ngay
Let's call in sick,Chúng ta hãy gọi điện xin nghỉ ốm đi
Let's get divorced,Chúng ta ly hôn đi
Let's get divorced,Chúng mình ly hôn đi
Let's get divorced,Hay là chúng ta ly hôn đi
My father grew old,Cha của tôi già đi
My right leg hurts,Tôi đau chân phải
One time is enough,Một lần là đủ
Please don't stand,Xin đừng đứng lên
Please stand aside,Vui lòng đứng sang một bên
She has green eyes,Cô ấy có mắt xanh
She has green eyes,Cô ấy có đôi mắt xanh
She is always busy,Chị ấy lúc nào cũng rất bận
She is really cute,Cô ấy thực sự dễ thương
Show me an example,Hãy cho tôi một ví dụ
Somebody's singing,Có ai đó đang hát
Someone is singing,Có ai đó đang hát
Take a deep breath,Hít một hơi thật sâu nào
Take a sip of this,Hãy nhấp thử một ngụm
Take a sip of this,Nhấp thử một ngụm đi
That doll is scary,Con búp bê kia thật đáng sợ
That is intriguing,Cái đó nhìn hấp dẫn
That isn't my call,Đó không phải là quyết định của tôi
That's a great tie,Đó là một chiếc cà vạt hoàn hảo
That's good enough,Vậy là được rồi
That's good enough,Vậy cũng được
That's not my call,Đó không phải là quyết định của tôi
The dog is barking,Con chó đang sủa
The shops are open,Các cửa hàng đang mở cửa
The tree fell down,Cây đổ
They both did well,Cả hai người họ đều đã làm tốt
They both did well,Hai người đó đều đã làm tốt
They still want it,Họ vẫn muốn nó
They still want it,Họ vẫn muốn cái đó
They work together,Họ làm cùng nhau
They work together,Họ làm việc cùng nhau
They're handcuffed,Họ đã bị còng tay
They're not hungry,Họ không đói
This is remarkable,Điều này thật đáng chú ý
This is very cheap,Cái này rất rẻ
This is very cheap,Cái này vô cùng rẻ
This is very cheap,Cái này cực kỳ rẻ
This isn't a tiger,Đó không phải là một con hổ
This knife is dull,Cái dao này bị cùn
This knife is dull,Chiếc dao này bị cùn
Tom agreed to help,Tom đã đồng ý giúp đỡ
Tom almost drowned,Tom suýt (mém) bị đuối nước
Tom can barely see,Tom hầu như không nhìn thấy gì
Tom does good work,Tom làm việc tốt
Tom fell backwards,Tom đã ngã ra sau
Tom is a cat lover,Tom là một người yêu mèo
Tom is a hillbilly,Tom là dân nhà quê
Tom is a socialist,Tom là một người chủ nghĩa xã hội
Tom is on the roof,Tom đang ở trên mái nhà
Tom is such a hunk,Tom quả là một người đàn ông lực lưỡng
Tom isn't the best,Tom không phải là số một
Tom isn't the best,Tom không phải là người giỏi nhất
Tom killed himself,Tom đã tự sát
Tom killed himself,Tom đã tự tử
Tom killed himself,Tom đã tự vẫn
Tom likes to drink,Tom thích uống
Tom lost his phone,Tom đánh mất điện thoại
Tom must be guilty,Tom phải có tội
Tom read the Bible,Tom đọc Kinh Thánh
Tom said thank you,Tom đã nói cảm ơn
